cidade_norm,ano,count
Pindoba,2023,1
Pindoba,2024,1
Piranhas,2012,10
Piranhas,2013,14
Piranhas,2014,9
Piranhas,2015,13
Piranhas,2016,12
Piranhas,2017,12
Piranhas,2018,6
Piranhas,2019,7
Piranhas,2020,4
Piranhas,2021,7
Piranhas,2022,6
Piranhas,2024,4
Piranhas,2025,1
Piranhas,2026,1
Porto Calvo,2012,11
Porto Calvo,2013,8
Porto Calvo,2014,15
Porto Calvo,2015,18
Porto Calvo,2016,14
Porto Calvo,2017,19
Porto Calvo,2018,16
Porto Calvo,2019,17
Porto Calvo,2020,10
Porto Calvo,2021,9
Porto Calvo,2022,7
Porto Calvo,2023,8
Porto Calvo,2024,8
Porto Calvo,2025,6
Porto Calvo,2026,2
Porto Real do Colégio,2012,5
Porto Real do Colégio,2013,11
Porto Real do Colégio,2014,5
Porto Real do Colégio,2015,7
Porto Real do Colégio,2016,7
Porto Real do Colégio,2017,14
Porto Real do Colégio,2018,7
Porto Real do Colégio,2019,4
Porto Real do Colégio,2020,3
Porto Real do Colégio,2021,7
Porto Real do Colégio,2022,5
Porto Real do Colégio,2023,4
Porto Real do Colégio,2024,4
Porto Real do Colégio,2025,9
Porto Real do Colégio,2026,1
Porto de Pedras,2012,1
Porto de Pedras,2013,4
Porto de Pedras,2014,5
Porto de Pedras,2015,2
Porto de Pedras,2016,1
Porto de Pedras,2017,3
Porto de Pedras,2018,1
Porto de Pedras,2019,1
Porto de Pedras,2020,3
Porto de Pedras,2021,1
Porto de Pedras,2022,7
Porto de Pedras,2023,13
Porto de Pedras,2024,10
Porto de Pedras,2025,7
Porto de Pedras,2026,2
Poço das Trincheiras,2012,2
Poço das Trincheiras,2013,1
Poço das Trincheiras,2014,3
Poço das Trincheiras,2015,2
Poço das Trincheiras,2016,5
Poço das Trincheiras,2017,1
Poço das Trincheiras,2018,1
Poço das Trincheiras,2019,3
Poço das Trincheiras,2020,3
Poço das Trincheiras,2021,2
Poço das Trincheiras,2022,4
Poço das Trincheiras,2023,4
Poço das Trincheiras,2024,1
Pão de Açúcar,2012,4
Pão de Açúcar,2013,8
Pão de Açúcar,2014,6
Pão de Açúcar,2015,9
Pão de Açúcar,2016,12
Pão de Açúcar,2017,9
Pão de Açúcar,2018,6
Pão de Açúcar,2019,5
Pão de Açúcar,2020,2
Pão de Açúcar,2021,3
Pão de Açúcar,2022,3
Pão de Açúcar,2024,4
Pão de Açúcar,2025,2
Quebrangulo,2012,4
Quebrangulo,2013,5
Quebrangulo,2014,2
Quebrangulo,2015,3
Quebrangulo,2016,5
Quebrangulo,2017,4
Quebrangulo,2018,1
Quebrangulo,2019,1
Quebrangulo,2021,2
Quebrangulo,2022,3
Quebrangulo,2023,9
Quebrangulo,2024,2
